URL,Código de resposta,Erro de notícias,Detectado,Categoria
http://www.scup.com/pt/funcionalidades/features-introduction-people/,404,,12/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-10-17/,404,,07/02/14,Não encontrado
http://www.scup.com/pt/nova-funcionalidade-responda-a-comentarios-no-facebook-pelo-scup/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-usar-o-sac-2-0-do-scup-2014-02-14/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/scup-pesquisa-cqc/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/paginas-azuis/aldeia-biz/www.aldeia.biz,404,,25/12/13,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-03-03/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-04-14/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/conheca-todos-os-usos-do-todo-poderoso-tracinho-antes-de-criar-seu-monitoramento/comment-page-1/,404,,13/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-04-07/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-02-10/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/como-usar-os-novos-formularios-de-cadastro-de-busca-do-scup/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-buscas-com-o-scup-treinamento-online-2014-04-21/feed/,404,,06/02/14,Não encontrado
http://www.scup.com/pt/50-funcoes-do-scup-em-50-verbos/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/encurtador-de-url-no-scup/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/qual-e-a-utilidade-da-busca-no-foursquare-para-o-meu-monitoramento/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/identificador-social-beta-integrando-informacoes-obtidas-nas-midias-sociais-com-bases-de-crm-tradicional/comment-page-1/,404,,05/12/13,Não encontrado
http://www.scup.com/pt/funcionalidades/monitore-e-classifique/features-monitor-tags-imgpor/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/video-como-cadastrar-e-alterar-tags-no-scup/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-dicas-espertas-que-agilizam-o-seu-dia-a-dia-2014-02-21/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-dicas-espertas-que-agilizam-o-seu-dia-a-dia-2014-05-02/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-04-02/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/scup-e-a-ferramenta-mais-usada-por-quem-faz-monitoramento-de-midias-sociais-mostra-pesquisa/comment-page-1/,404,,14/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-01-23/feed/,404,,20/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-02-20/feed/,404,,21/12/13,Não encontrado
http://www.scup.com/pt/qual-e-seu-nivel-de-maturidade-nas-midias-sociais/comment-page-1/,404,,13/02/14,Não encontrado
http://www.scup.com/pt/scup-participa-do-forum-de-marketing-digital-2013/forum-de-mkt-digital-recife-digitalks-2013/,404,,13/02/14,Não encontrado
http://www.scup.com/pt/senha-conta-facebook/comment-page-1/,404,,13/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-09-05/,404,,21/12/13,Não encontrado
http://www.scup.com/pt/identificador-social-beta-integrando-informacoes-obtidas-nas-midias-sociais-com-bases-de-crm-tradicional/,404,,09/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-01-16/feed/,404,,19/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-12-10/,404,,16/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-01-30/feed/,404,,20/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2014-02-06/feed/,404,,21/12/13,Não encontrado
http://www.scup.com/pt/eventos/aprenda-a-cadastrar-regras-com-o-scup-treinamento-online-2014-03-12/feed/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/novas-funcionalidades-do-scup-marco2013/,404,,10/11/13,Não encontrado
